Comment,Designator,Footprint,LCSC,Quantity
100R,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408,1
10k,"R10,R19,R22,R23",R_0402_1005Metric,C25744,4
1k,"R11,R12,R13,R14,R15,R16,R17,R18",R_0402_1005Metric,C11702,8
1n,"C10,C13,C14,C9",C_0402_1005Metric,C1523,4
1r0,"R20,R21,R5,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C25271,4
1u,"C1,C4",C_0402_1005Metric,C52923,2
22R,"R8,R9",R_0402_1005Metric,C25092,2
22n,"C16,C7",C_0402_1005Metric,C1532,2
22u,"C12,C17,C2,C5",C_0805_2012Metric,C45783,4
2u2,"C18,C6",C_0603_1608Metric,C23630,2
4k7,"R3,R4",R_0402_1005Metric,C25900,2
5k1,"R1,R24,R25,R7",R_0402_1005Metric,C25905,4
BTN,SW8,SW_Push_1P1T_NO_6x6mm_H6.5mm_Reverse,C541960,1
Buzzer,BZ1,XDCR_CMT-7525-80-SMT-TR_handsolder,C49246950,1
ESP32-C3-MINI-1,U1,ESP32-C3-MINI-1,C2838502,1
RGB3,D21,SK6812MINI-E_REV,C5149201,1
RST,SW1,SW_Push_1P1T_NO_6x6mm_H6.5mm_Reverse,C541960,1
STSPIN220,"U3,U4",VQFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,C2150516,2
Servo,J3,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,C5160786,1
Stepper 1,"J1,J2",JST_XH_5P_SMD,C7429683,2
USB_C_Receptacle_USB2.0_16P,J5,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
XC6206PxxxMR,U2,SOT-23-3,C5446,1
u1,"C11,C15,C3,C8",C_0402_1005Metric,C1525,4
MicroSwitchLeft,SW2,Omron D2F Left Angled,,1
Conn_01x04,J6,JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal_SmallerCourtyard,,1
MicroSwitchRight,SW3,Omron D2F Right Angled,,1
Conn_01x04,J4,JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal_SmallerCourtyard,,1
TestPoint,TP1,TestPoint_THTPad_D1.0mm_Drill0.5mm,,1
