Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,XDCR_CMT-7525-80-SMT-TR_handsolder,101.1,-81.15,90.0,bottom
C1,1u,C_0402_1005Metric,109.95,-71.35,180.0,bottom
C10,1n,C_0402_1005Metric,98.1,-92.9,0.0,bottom
C11,u1,C_0402_1005Metric,88.05,-124.95,90.0,bottom
C12,22u,C_0805_2012Metric,86.8,-127.15,0.0,bottom
C13,1n,C_0402_1005Metric,84.55,-114.3,90.0,bottom
C14,1n,C_0402_1005Metric,85.5,-113.25,270.0,bottom
C15,u1,C_0402_1005Metric,89.3,-113.9,270.0,bottom
C16,22n,C_0402_1005Metric,86.95,-114.35,0.0,bottom
C17,22u,C_0805_2012Metric,92.3,-98.15,0.0,bottom
C18,2u2,C_0603_1608Metric,92.5,-99.9,0.0,bottom
C2,22u,C_0805_2012Metric,110.7,-69.85,180.0,bottom
C3,u1,C_0402_1005Metric,79.85,-95.55,0.0,bottom
C4,1u,C_0402_1005Metric,105.25,-71.7,270.0,bottom
C5,22u,C_0805_2012Metric,92.3,-110.35,180.0,bottom
C6,2u2,C_0603_1608Metric,92.1,-108.6,180.0,bottom
C7,22n,C_0402_1005Metric,96.7,-93.35,90.0,bottom
C8,u1,C_0402_1005Metric,93.8,-94.05,90.0,bottom
C9,1n,C_0402_1005Metric,99.25,-98.4,180.0,bottom
D21,RGB3,SK6812MINI-E_REV,79.75,-100.0,-90.0,top
H1,Hinge3040,Hinge_3040,120.5,-93.0,0.0,top
J1,Stepper 1,JST_XH_5P_SMD,86.5,-99.05,90.0,bottom
J2,Stepper 1,JST_XH_5P_SMD,98.35,-108.2,270.0,bottom
J3,Servo,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,95.6,-88.9,90.0,bottom
J4,Conn_01x04,JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal_SmallerCourtyard,101.1,-74.0725,180.0,top
J5,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,90.15,-71.86,0.0,bottom
J6,Conn_01x04,JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal_SmallerCourtyard,113.7,-74.0725,180.0,top
R1,5k1,R_0402_1005Metric,88.9,-76.6,270.0,bottom
R10,10k,R_0402_1005Metric,97.65,-95.25,270.0,bottom
R11,1k,R_0402_1005Metric,96.7,-95.25,270.0,bottom
R12,1k,R_0402_1005Metric,94.75,-94.05,270.0,bottom
R13,1k,R_0402_1005Metric,99.25,-97.45,180.0,bottom
R14,1k,R_0402_1005Metric,99.25,-96.5,180.0,bottom
R15,1k,R_0402_1005Metric,85.0,-110.85,0.0,bottom
R16,1k,R_0402_1005Metric,85.0,-111.85,0.0,bottom
R17,1k,R_0402_1005Metric,90.25,-114.5,90.0,bottom
R18,1k,R_0402_1005Metric,87.4,-112.95,90.0,bottom
R19,10k,R_0402_1005Metric,86.45,-112.95,90.0,bottom
R2,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,95.85,-83.55,270.0,bottom
R20,1r0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,92.1,-106.65,180.0,bottom
R21,1r0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,91.7,-113.4,270.0,bottom
R22,10k,R_0402_1005Metric,95.7,-95.25,270.0,bottom
R23,10k,R_0402_1005Metric,88.35,-112.95,90.0,bottom
R24,5k1,R_0402_1005Metric,95.7,-93.35,270.0,bottom
R25,5k1,R_0402_1005Metric,88.35,-114.85,270.0,bottom
R3,4k7,R_0402_1005Metric,104.25,-71.7,90.0,bottom
R4,4k7,R_0402_1005Metric,102.5,-71.7,90.0,bottom
R5,1r0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,92.35,-95.05,90.0,bottom
R6,1r0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,92.1,-102.75,270.0,bottom
R7,5k1,R_0402_1005Metric,92.9,-76.6,270.0,bottom
R8,22R,R_0402_1005Metric,91.4,-76.6,270.0,bottom
R9,22R,R_0402_1005Metric,90.4,-76.6,270.0,bottom
SRV1,Servo SG90,SG90_vertical_PCB,113.0,-113.6,90.0,top
ST1,Stepper 1,28BYJ-48,65.95,-82.0,45.0,top
ST2,Stepper 2,28BYJ-48,65.95,-118.0,135.0,top
SW1,RST,SW_Push_1P1T_NO_6x6mm_H6.5mm_Reverse,84.3,-120.85,90.0,bottom
SW2,MicroSwitchLeft,Omron D2F Left Angled,63.99,-98.8,0.0,top
SW3,MicroSwitchRight,Omron D2F Right Angled,64.01,-101.2,180.0,top
SW8,BTN,SW_Push_1P1T_NO_6x6mm_H6.5mm_Reverse,87.4,-84.9,90.0,bottom
TP1,TestPoint,TestPoint_THTPad_D1.0mm_Drill0.5mm,98.7,-94.95,0.0,top
U1,ESP32-C3-MINI-1,ESP32-C3-MINI-1,95.35,-123.35,180.0,bottom
U2,XC6206PxxxMR,SOT-23-3,107.9,-72.5,90.0,bottom
U3,STSPIN220,VQFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,96.15,-98.8,0.0,bottom
U4,STSPIN220,VQFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,88.45,-109.75,180.0,bottom
