Comment,Designator,Footprint,LCSC,Quantity
100R,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408,1
22R,"R8,R9",R_0402_1005Metric,C25092,2
22u,"C12,C5,C6",C_0805_2012Metric,C45783,3
5k1,"R1,R26,R3,R4,R7",R_0402_1005Metric,C25905,5
AMS1117,U3,SOT-223-3_TabPin2,C6186,1
BTN,SW8,SW_Push_1P1T_NO_6x6mm_H6.5mm_Reverse,C541960,1
Buzzer,BZ1,XDCR_CMT-7525-80-SMT-TR_handsolder,C49246950,1
ESP32-S3-MINI-1,U5,ESP32-S2-MINI-1,C2913206,1
RGB3,D21,SK6812MINI-E_REV,C5149201,1
RST,SW1,SW_Push_1P1T_NO_6x6mm_H6.5mm_Reverse,C541960,1
Servo,J3,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,C5160786,1
Stepper 1,J1,JST_XH_5P_SMD,C7429683,1
Stepper 2,J2,JST_XH_5P_SMD,C7429683,1
TBD62783A,U1,SSOP-18_4.4x6.5mm_P0.65mm,C4153829,1
USB_C_Receptacle_USB2.0_16P,J5,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
u1,"C10,C11,C3,C9",C_0402_1005Metric,C1525,4
MicroSwitchLeft,SW2,Omron D2F Left Angled,,1
Serial,J6,JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal_SmallerCourtyard,,1
MicroSwitchRight,SW3,Omron D2F Right Angled,,1
I2C,J4,JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal_SmallerCourtyard,,1
